Title,Price,Marque,Modele,Kilometrage,Mise_en_circulation,Energie,Boite_vitesse,Puissance_fiscale,Puissance_ch,Transmission,Carrosserie,Etat_general,Proprietaires,Gouvernorat,Couleur_exterieure,Couleur_interieure,Sellerie,Nombre_places,Nombre_portes,Cylindree,Equipements,Date_annonce,URL
Chery Tiggo 7 Pro 1.5 T CVT 147 cv Boîte auto,79500 DT,Chery,Tiggo 7 Pro,38 000,3.2022,Essence,Automatique,9.0,147.0,Traction,SUV,Très bon,1ère main,Ariana,Noir,Noir,Cuir,5,5,1498.0,"ABS, Airbags frontaux, Airbags latéraux, Android Auto, Apple Carplay, Bluetooth, Caméra de recul, Climatisation, Climatisation automatique, Direction assistée, Fermeture centralisée, Feux à LED, Jantes en alliage, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges chauffants, Sièges électriques, Toit ouvrant, Toit panoramique, Vitres électriques",08.02.2026,https://www.automobile.tn/fr/occasion/chery/tiggo-7/123097
Mitsubishi Pajero LIMITED EDITION 3.2 DI-D Break 160cv,135000 DT,Mitsubishi,Pajero,75 000,6.2019,Diesel,Manuelle,11.0,160.0,Propulsion,SUV,Très bon,1ère main,Tunis,Blanc,Noir,Tissu,5,5,3200.0,Sièges électriques,08.02.2026,https://www.automobile.tn/fr/occasion/mitsubishi/pajero/117256
Volkswagen T-roc 1.0 TSI 12V BMT 110 cv,85000 DT,Volkswagen,T-roc,45 000,12.2021,Essence,Manuelle,6.0,110.0,Traction,SUV,Très bon,1ère main,Ariana,Orange,Noir,Tissu,5,5,999.0,"ABS, Airbags frontaux, Airbags latéraux, Android Auto, Apple Carplay, Bluetooth, Caméra de recul, Climatisation, Climatisation automatique, Direction assistée, Fermeture centralisée, Feux à LED, GPS, Navigation, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges chauffants, Toit ouvrant, Toit panoramique, Vitres électriques",08.02.2026,https://www.automobile.tn/fr/occasion/volkswagen/t-roc/122026
Mercedes-Benz Classe E Exclusive 220 d L 2.0 d 16V 9G-TRONIC 194 cv Boîte auto,105000 DT,Mercedes-Benz,Classe E,140 000,10.2016,Diesel,Automatique,10.0,194.0,Propulsion,Berline,Très bon,1ère main,Ariana,Noir,Beige,Cuir,5,5,1999.0,"ABS, Airbags frontaux, Airbags latéraux, Android Auto, Apple Carplay, Bluetooth, Feux à LED, Radar de recul, Sièges chauffants",08.02.2026,https://www.automobile.tn/fr/occasion/mercedes-benz/classe-e/120324
Volkswagen Golf 8 R-Line 1.5 eTSi 16V BMT DSG7 150 cv Boîte auto,105000 DT,Volkswagen,Golf 8,75 000,6.2021,Hybride,Automatique,8.0,150.0,Traction,Berline,Très bon,1ère main,Ariana,Gris,Noir,Alcantara,5,5,1498.0,"ABS, Airbags frontaux, Airbags latéraux, Android Auto, Apple Carplay, Bluetooth, Caméra de recul, Fermeture centralisée, GPS, Navigation, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges chauffants, Sièges électriques, Toit panoramique, Vitres électriques",08.02.2026,https://www.automobile.tn/fr/occasion/volkswagen/golf-8/122025
Mercedes-Benz CLA Urban 180 CDi 1.5 CDI 109 cv,82000 DT,Mercedes-Benz,CLA,120 000,4.2015,Diesel,Manuelle,5.0,109.0,Traction,Berline,Très bon,,Tunis,Gris,Beige,Similicuir,5,5,1461.0,"ABS, Airbags frontaux, Airbags latéraux, Bluetooth, Caméra de recul, Climatisation, Climatisation automatique, Direction assistée, Fermeture centralisée, Feux à LED, Jantes en alliage, Navigation, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges chauffants, Sièges électriques, Toit panoramique",08.02.2026,https://www.automobile.tn/fr/occasion/mercedes-benz/cla/123229
BMW X1 Access 18i sDrive 2.0 i 16V 150 cv Boîte auto,71000 DT,BMW,X1,122 000,7.2014,Essence,Automatique,9.0,150.0,Propulsion,SUV,Très bon,,Tunis,Orange,Beige,Cuir,5,5,1995.0,"ABS, Airbags frontaux, Airbags latéraux, Bluetooth, Caméra de recul, Climatisation, Climatisation automatique, Direction assistée, Fermeture centralisée, Jantes en alliage, Ordinateur de bord, Sièges électriques, Toit ouvrant, Toit panoramique, Vitres électriques",08.02.2026,https://www.automobile.tn/fr/occasion/bmw/x1/122581
Toyota RAV 4 2.0 L 4x2 146 cv Boîte auto,66000 DT,Toyota,RAV 4,163 000,3.2015,Essence,Automatique,9.0,146.0,Traction,SUV,Très bon,1ère main,Tunis,Beige,Beige,Cuir,5,4,1987.0,"ABS, Airbags frontaux, Airbags latéraux, Android Auto, Apple Carplay, Bluetooth, Caméra de recul, Climatisation, Climatisation automatique, Direction assistée, Jantes en alliage, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges chauffants, Sièges électriques, Toit ouvrant",08.02.2026,https://www.automobile.tn/fr/occasion/toyota/rav-4/120699
Fiat 500 1.2 L 69 cv Boîte auto,52000 DT,Fiat,500,76 000,5.2022,Essence,Automatique,4.0,69.0,Traction,Citadine,Très bon,1ère main,Tunis,Blanc,Noir,Tissu,4,3,1242.0,"ABS, Airbags frontaux, Airbags latéraux, Bluetooth, Climatisation, Climatisation automatique, Direction assistée, Fermeture centralisée, Jantes en alliage, Ordinateur de bord, Toit ouvrant, Toit panoramique",08.02.2026,https://www.automobile.tn/fr/occasion/fiat/500/123096
KIA Picanto 1.2 MPi 16V 85 cv Boîte auto,35500 DT,KIA,Picanto,66 000,5.2016,Essence,Automatique,5.0,85.0,Traction,Citadine,Très bon,1ère main,Tunis,Noir,Noir,Tissu,5,5,1248.0,"ABS, Airbags frontaux, Android Auto, Apple Carplay, Bluetooth, Climatisation, Climatisation automatique, Direction assistée, Fermeture centralisée, Jantes en alliage, Vitres électriques",08.02.2026,https://www.automobile.tn/fr/occasion/kia/picanto/123041
